date,temperature
2024-01-01,15.15
2024-01-02,15.95
2024-01-03,15.0
2024-01-04,15.450000000000001
2024-01-05,14.3
2024-01-06,14.3
2024-01-07,12.6
2024-01-08,13.200000000000001
2024-01-09,13.45
2024-01-10,14.2
2024-01-11,15.0
2024-01-12,14.8
2024-01-13,13.95
2024-01-14,15.6
2024-01-15,14.0
2024-01-16,13.0
2024-01-17,13.450000000000001
2024-01-18,14.649999999999999
2024-01-19,13.9
2024-01-20,14.3
2024-01-21,15.25
2024-01-22,15.3
2024-01-23,13.45
2024-01-24,14.1
2024-01-25,16.099999999999998
2024-01-26,15.35
2024-01-27,14.850000000000001
2024-01-28,17.15
2024-01-29,17.15
2024-01-30,16.7
2024-01-31,15.450000000000001
2024-02-01,16.799999999999997
2024-02-02,15.7
2024-02-03,15.95
2024-02-04,15.55
2024-02-05,14.600000000000001
2024-02-06,14.350000000000001
2024-02-07,15.0
2024-02-08,16.25
2024-02-09,15.700000000000001
2024-02-10,15.7
2024-02-11,14.2
2024-02-12,15.4
2024-02-13,15.85
2024-02-14,14.1
2024-02-15,14.95
2024-02-16,15.399999999999999
2024-02-17,15.5
2024-02-18,15.6
2024-02-19,15.6
2024-02-20,15.75
2024-02-21,16.549999999999997
2024-02-22,15.950000000000001
2024-02-23,17.05
2024-02-24,16.2
2024-02-25,15.0
2024-02-26,15.25
2024-02-27,15.95
2024-02-28,16.3
2024-02-29,16.6
2024-03-01,15.6
2024-03-02,15.3
2024-03-03,16.1
2024-03-04,15.8
2024-03-05,16.85
2024-03-06,16.9
2024-03-07,15.4
2024-03-08,15.3
2024-03-09,15.8
2024-03-10,16.25
2024-03-11,15.649999999999999
2024-03-12,15.3
2024-03-13,15.15
2024-03-14,15.350000000000001
2024-03-15,15.9
2024-03-16,15.149999999999999
2024-03-17,15.3
2024-03-18,15.100000000000001
2024-03-19,15.8
2024-03-20,15.9
2024-03-21,15.35
2024-03-22,17.55
2024-03-23,15.3
2024-03-24,16.45
2024-03-25,15.899999999999999
2024-03-26,15.75
2024-03-27,15.2
2024-03-28,15.649999999999999
2024-03-29,15.3
2024-03-30,15.05
